plant_species,synonyms,family,native_introduced,color,fleshy_dry,dehiscent_indehiscent,number_s_per_f,number_s_per_f_uncertainty,number_s_per_f_lower_bound,number_s_per_f_upper_bound,number_s_per_f_sd_se,number_s_per_f_sample_size,s_length,s_length_uncertainty,s_length_lower_bound,s_length_upper_bound,s_length_sd_se,s_length_sample_size,s_width,s_width_uncertainty,s_width_lower_bound,s_width_upper_bound,s_width_sd_se,s_width_sample_size,s_mass,dry_wet_s,s_mass_uncertainty,s_mass_lower_bound,s_mass_upper_bound,s_mass_sd_se,s_mass_sample_size,f_length,f_length_uncertainty,f_length_lower_bound,f_length_upper_bound,f_length_sd_se,f_length_sample_size,f_width,f_width_uncertainty,f_width_lower_bound,f_width_upper_bound,f_width_sd_se,f_width_sample_size,f_mass,dry_wet_f,f_mass_uncertainty,f_mass_lower_bound,f_mass_upper_bound,f_mass_sd_se,f_mass_sample_size,citations
Bagassa guianensis,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,24,SD,NA,NA,5,2,20,SD,NA,NA,1,2,NA,,,NA,NA,NA,NA,"Kissling 2019, Oliveira 2000, Baraloto 2007"
Barcella odora,Elaeis odora,Arecaceae,N,Orange,D,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,35,None Specified,NA,NA,NA,0,25,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,Kissling 2019
Batocarpus orinocensis,Anonocarpus peruvianus,Moraceae,N,Green,F,I,20,None Specified,NA,NA,NA,5,6.6,SD,NA,NA,0.424264069,2,5.25,SD,NA,NA,0.919238816,2,1.39,W,None Specified,NA,NA,NA,5,50,None Specified,NA,NA,NA,5,25.1,None Specified,NA,NA,NA,1,95,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Link 2004, https://collections-botany.fieldmuseum.org/catalogue/396737, https://collections-botany.fieldmuseum.org/catalogue/2890766"
Batocarpus orinocensis,,,,,,,NA,,NA,NA,NA,NA,12,None Specified,NA,NA,NA,5,10.65,None Specified,NA,NA,NA,5,0.69,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,50,None Specified,NA,NA,NA,5,26.8,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Link 2004, https://collections-botany.fieldmuseum.org/catalogue/396737, https://collections-botany.fieldmuseum.org/catalogue/2890766"
Bellucia grossularioides,"Melastoma grossularioides, Bellucia aubletii, Bellucia brasiliensis, Bellucia circumscissa, Bellucia hostmannii, Axinanthera hostmannii, Bellucia macrophylla, Blakea macrophylla, Bellucia multiflora, Bellucia nervosa, Bellucia pluricaulis, Bellucia quinquenervia, Blakea quinquenervia, Webera quinquenervia, Bellucia riparia, Bellucia superba, Blakea triplinervia, Ischyranthera laevigata, Melastoma grossularia, Apatitia blakeoides",Melastomataceae,N,Yellow/Green,F,I,NA,,NA,NA,NA,NA,0.75,None Specified,NA,NA,NA,5,0.75,None Specified,NA,NA,NA,5,2.00E-04,W,None Specified,NA,NA,NA,17,13,None Specified,NA,NA,NA,5,13,None Specified,NA,NA,NA,5,13.62632662,W,None Specified,NA,NA,NA,14,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia grossularioides,,,,,,,NA,,NA,NA,NA,NA,1.4,None Specified,NA,NA,NA,0,0.7,None Specified,NA,NA,NA,0,6.90E-05,W,Unknown +/-,NA,NA,8.00E-06,10,35,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,11.97183099,W,None Specified,NA,NA,NA,1,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia grossularioides,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.00015,D,None Specified,NA,NA,NA,17,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,13.5,W,None Specified,NA,NA,NA,1,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia grossularioides,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,10.31698902,W,None Specified,NA,NA,NA,15,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia grossularioides,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,9.541695668,W,None Specified,NA,NA,NA,7,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia grossularioides,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11.18393235,W,None Specified,NA,NA,NA,1,"Stevenson 2023, Hammond 1995, Atramentowicz 1988, Adaime 2018, Adaime 2017, https://www.sup.org/books/title/?id=2543"
Bellucia pentamera,"Axinanthera bellucia, Axinanthera macrophylla, Bellucia aricuaizensium, Bellucia axinanthera, Bellucia costaricensis, Bellucia weberbaueri",Melastomataceae,N,Yellow,F,I,500,None Specified,NA,NA,NA,5,0.25,None Specified,NA,NA,NA,5,0.25,None Specified,NA,NA,NA,5,0.00012,W,SD,NA,NA,1.00E-05,20,28,None Specified,NA,NA,NA,5,22.45,Range,21,25,NA,0,1.41,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Sánchez 2013, Link 2004, Peña-Claros 2001, Aluja 2003, http://specimens.kew.org/herbarium/K000537018"
Bellucia pentamera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,14.475,SD,NA,NA,1.920720351,4,14.15,SD,NA,NA,3.127778765,6,12.6,W,SD,NA,NA,2.99,0,"Stevenson 2023, Sánchez 2013, Link 2004, Peña-Claros 2001, Aluja 2003, http://specimens.kew.org/herbarium/K000537018"
Bellucia pentamera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,35,None Specified,NA,NA,NA,0,21,None Specified,NA,NA,NA,5,9.258,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Sánchez 2013, Link 2004, Peña-Claros 2001, Aluja 2003, http://specimens.kew.org/herbarium/K000537018"
Bellucia pentamera,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,31.48,Range,30.7,32.8,NA,0,NA,,NA,NA,NA,NA,15.79,NA,Range,12.51,17.39,NA,0,"Stevenson 2023, Sánchez 2013, Link 2004, Peña-Claros 2001, Aluja 2003, http://specimens.kew.org/herbarium/K000537018"
Bertholletia excelsa,,Lecythidaceae,N,Brown,D,I,NA,Range,15,24,NA,0,40,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,14.29,NA,None Specified,NA,NA,NA,0,1040,SD,NA,NA,60,150,1010,SD,NA,NA,90,150,NA,W,Range,500,1500,NA,0,"Guimarães 2008, Wadt 2018, Dionisio 2019, Ferraz 2013"
Bertholletia excelsa,,,,,,,17,Range,10,25,NA,0,40,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,14.29,NA,None Specified,NA,NA,NA,0,1290,SD,NA,NA,100,150,1130,SD,NA,NA,110,150,439.8,W,SD,NA,NA,88,150,"Guimarães 2008, Wadt 2018, Dionisio 2019, Ferraz 2013"
Bertholletia excelsa,,,,,,,17,Range,10,25,NA,0,40,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,12.933,W,Unknown +/-,NA,NA,5.103,0,1290,SD,NA,NA,100,150,1130,SD,NA,NA,110,150,571.6,W,SD,NA,NA,133.5,150,"Guimarães 2008, Wadt 2018, Dionisio 2019, Ferraz 2013"
Bocageopsis multiflora,Bocagea multiflora,Annonaceae,N,Orange/Red,F,I,NA,Range,1,2,NA,0,NA,Range,6,7,NA,0,NA,Range,5,6,NA,0,0.2,W,None Specified,NA,NA,NA,17,NA,Range,6,7,NA,0,NA,Range,5,6,NA,0,NA,,,NA,NA,NA,NA,"Cramer 2007, Maas 2007, Hammond 1995"
Bocageopsis multiflora,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Cramer 2007, Maas 2007, Hammond 1995"
Bombax spectabile,Pachira insignis,Malvaceae,N,Brown,D,D,NA,,NA,NA,NA,NA,30,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,10,D,None Specified,NA,NA,NA,0,96.8,None Specified,NA,NA,NA,1,84,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Kattge 2011, https://collections-botany.fieldmuseum.org/catalogue/1822751, https://uses.plantnet-project.org/en/Pachira_insignis_(PROSEA)"
Borreria latifolia,Spermacoce latifolia,Rubiaceae,Y,Yellow/Green,D,D,NA,,NA,NA,NA,NA,2,None Specified,NA,NA,NA,0,1,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,NA,Range,3,4,NA,0,NA,Range,2,3,NA,0,NA,,,NA,NA,NA,NA,"Tiwari 2018, https://portal.wiktrop.org/species/show/360553#description"
Borreria latifolia,,,,,,,NA,,NA,NA,NA,NA,NA,Range,1.6,3,NA,0,NA,None Specified,1.2,1.8,NA,0,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Range,2.5,4,NA,0,NA,,,NA,NA,NA,NA,"Tiwari 2018, https://portal.wiktrop.org/species/show/360553#description"
Bromelia balansae,"Bromelia agentina, Bromelia laciniosa, Bromelia pinguin, Karatas guianensis",Bromeliaceae,N,Orange,F,I,23.3,SD,NA,NA,9.43,10,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.6,W,SD,NA,NA,0.26,10,47,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,18.89,W,SD,NA,NA,6.12,10,"Paulino-Neto 2016, Pereira 2015, Motta-Junior 2002"
Bromelia balansae,,,,,,,24.5,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,18.33,W,None Specified,NA,NA,NA,0,"Paulino-Neto 2016, Pereira 2015, Motta-Junior 2002"
Bromelia plumieri,Bromelia karatas,Bromeliaceae,N,Yellow/White/Pink/Brown,F,I,69.2,Unknown +/-,NA,NA,11.7,30,4,Unknown +/-,NA,NA,0.1,30,3.4,Unknown +/-,NA,NA,0.1,30,NA,,,NA,NA,NA,NA,NA,Range,50,100,NA,0,NA,Range,10,20,NA,0,18.83,NA,SD,NA,NA,4.41,30,"Moura 2007, Andrade-Cetto 2013, Montes 2014, Martelo-Solorzano 2022, https://www.biodiversitylibrary.org/bibliography/889"
Bromelia plumieri,,,,,,,NA,,NA,NA,NA,NA,7,None Specified,NA,NA,NA,0,6,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,106.1,Unknown +/-,NA,NA,1.8,30,16.4,Unknown +/-,NA,NA,1.3,30,NA,,,NA,NA,NA,NA,"Moura 2007, Andrade-Cetto 2013, Montes 2014, Martelo-Solorzano 2022, https://www.biodiversitylibrary.org/bibliography/889"
Bromelia plumieri,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,80,None Specified,NA,NA,NA,0,20,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,"Moura 2007, Andrade-Cetto 2013, Montes 2014, Martelo-Solorzano 2022, https://www.biodiversitylibrary.org/bibliography/889"
Brosimum alicastrum,,Moraceae,N,Yellow/Orange/Red/Green,F,I,1,None Specified,NA,NA,NA,6,19,None Specified,NA,NA,NA,0,15,None Specified,NA,NA,NA,0,1.287,W,None Specified,NA,NA,NA,5,21,None Specified,NA,NA,NA,5,20.5,None Specified,NA,NA,NA,5,1.316,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,8,None Specified,NA,NA,NA,5,8,None Specified,NA,NA,NA,5,2.2,NA,None Specified,NA,NA,NA,0,24.5,None Specified,NA,NA,NA,1,24.5,None Specified,NA,NA,NA,1,4.5,NA,None Specified,NA,NA,NA,0,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,17.3,None Specified,NA,NA,NA,1,10,None Specified,NA,NA,NA,6,1.00252401,D,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,3.679,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11.5,None Specified,NA,NA,NA,1,0.712,D,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,3,NA,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.721,W,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum alicastrum,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.25,NA,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Brewer 1999, Stevenson 2002, Brechú-Franco 2021, Carter 2015, Moura 2007, Foster 1985, Daws 2005, White 1986"
Brosimum guianensis,Brosimum guianense,Moraceae,N,Red,F,I,2,None Specified,NA,NA,NA,5,9,None Specified,NA,NA,NA,5,6.5,None Specified,NA,NA,NA,5,0.205,D,None Specified,NA,NA,NA,5,25,None Specified,NA,NA,NA,5,15.6125,None Specified,NA,NA,NA,5,1.09,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Hammel 1986, Knörr 2010"
Brosimum guianensis,,,,,,,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.29,D,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.70333333,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Hammel 1986, Knörr 2010"
Brosimum guianensis,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.375,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Hammel 1986, Knörr 2010"
Brosimum lactescens,,Moraceae,N,Yellow/Orange,F,I,1.3,None Specified,NA,NA,NA,6,10.2,SD,NA,NA,1.12,46,20,None Specified,NA,NA,NA,0,0.2990427,D,None Specified,NA,NA,NA,5,16,None Specified,NA,NA,NA,5,15,None Specified,NA,NA,NA,5,0.77181818,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Benítez-Malvido 2014, Wallace 2005, Andresen 1999, Ibarra-Manríquez 2010"
Brosimum lactescens,,,,,,,1.641666667,None Specified,NA,NA,NA,5,7.175,None Specified,NA,NA,NA,5,9,SD,NA,NA,0.9,46,0.41083333,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5.8,NA,None Specified,NA,NA,NA,0,"Stevenson 2023, Stevenson 2002, Benítez-Malvido 2014, Wallace 2005, Andresen 1999, Ibarra-Manríquez 2010"
Brosimum lactescens,,,,,,,NA,,NA,NA,NA,NA,20,None Specified,NA,NA,NA,0,6.5,None Specified,NA,NA,NA,6,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.35333333,W,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Benítez-Malvido 2014, Wallace 2005, Andresen 1999, Ibarra-Manríquez 2010"
Brosimum parinarioides,,Moraceae,N,Green,F,I,NA,,NA,NA,NA,NA,7.8,None Specified,NA,NA,NA,1,6.6,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,25.9,None Specified,NA,NA,NA,1,23.1,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Roosmalen 1988, Costa 2023"
Brosimum parinarioides,,,,,,,NA,,NA,NA,NA,NA,3.53,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Roosmalen 1988, Costa 2023"
Brosimum rubescens,"Piratinera rubescens, Alicastrum rubescens, Brosimum angustifolium, Brosimum brevipedunculatum, Brosimum caloxylon, Brosimum lanciferum, Brosiumum longistipulatum, Brosimum paraense, Brosimum platyneurum, Ferolia variegata, Parinari guianensis, Ferolia guianensis, Piratinera angustifolia, Piratinera lancifera, Piratinera paraensis",Moraceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,8.05,SD,NA,NA,4.596194078,2,5.55,SD,NA,NA,3.606244584,2,0.05,W,None Specified,NA,NA,NA,0,16.48333333,SD,NA,NA,4.171530495,6,13.75,SD,NA,NA,3.566931454,6,NA,,,NA,NA,NA,NA,"Rivera 2014, White 1986, Roosmalen 1988"
Brosimum rubescens,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,13.8,None Specified,NA,NA,NA,1,13.2,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Rivera 2014, White 1986, Roosmalen 1988"
Buchenavia amazonia,Terminalia viridiflora,Combretaceae,N,Green,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,13,20,NA,0,NA,Range,7,12,NA,0,NA,,,NA,NA,NA,NA,Al-Mayah 1983
Buchenavia grandis,Terminalia grandis,Combretaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,0,22.3125,SD,NA,NA,1.482697831,8,10.3875,SD,NA,NA,0.767998326,8,1.93,W,None Specified,NA,NA,NA,30,NA,Range,24,35,NA,0,NA,Range,11,25,NA,0,NA,,,NA,NA,NA,NA,"Falótico 2018, Paine 2016, Foster 1985, Paine 2007, Al-Mayah 1983, Andresen 2000"
Buchenavia grandis,,,,,,,1,None Specified,NA,NA,NA,0,21,Unknown +/-,NA,NA,0.3,10,10,Unknown +/-,NA,NA,0.1,10,1.9,W,SD,NA,NA,0.5,20,NA,Range,24,35,NA,0,NA,Range,11,25,NA,0,NA,,,NA,NA,NA,NA,"Falótico 2018, Paine 2016, Foster 1985, Paine 2007, Al-Mayah 1983, Andresen 2000"
Buchenavia grandis,,,,,,,1,None Specified,NA,NA,NA,0,30,Unknown +/-,NA,NA,0.4,10,13,Unknown +/-,NA,NA,0.3,10,2.5,W,None Specified,NA,NA,NA,0,NA,Range,24,35,NA,0,NA,Range,11,25,NA,0,NA,,,NA,NA,NA,NA,"Falótico 2018, Paine 2016, Foster 1985, Paine 2007, Al-Mayah 1983, Andresen 2000"
Buchenavia oxycarpa,Terminalia oxycarpa,Combretaceae,N,Green,F,I,NA,,NA,NA,NA,NA,23.5,None Specified,NA,NA,NA,0,7.4,None Specified,NA,NA,NA,0,0.3,D,Confidence Interval,0.26,0.34,NA,20,20.1,None Specified,NA,NA,NA,1,8.5,None Specified,NA,NA,NA,1,3.04,NA,None Specified,NA,NA,NA,0,"Sánchez 2013, Flores 2021, Knogge 2002, http://legacy.tropicos.org/Specimen/3178842"
Buchenavia oxycarpa,,,,,,,NA,,NA,NA,NA,NA,14.4,None Specified,NA,NA,NA,0,7.4,None Specified,NA,NA,NA,0,1.24,NA,None Specified,NA,NA,NA,0,17.4,None Specified,NA,NA,NA,0,12.5,None Specified,NA,NA,NA,0,3.04,NA,None Specified,NA,NA,NA,0,"Sánchez 2013, Flores 2021, Knogge 2002, http://legacy.tropicos.org/Specimen/3178842"
Buchenavia parvifolia,Terminalia parvifolia,Combretaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,14,20,NA,0,NA,Range,8,12,NA,0,NA,,,NA,NA,NA,NA,"Al-Mayah 1983, Janson-Jacobs 2009"
Buchenavia parvifolia,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,10,26,NA,0,NA,Range,7,16,NA,0,NA,,,NA,NA,NA,NA,"Al-Mayah 1983, Janson-Jacobs 2009"
Buchenavia tomentosa,"Terminalia corrugata, Buchenavia callistachya, Buchenavia macahensis, Buchenavia corrugata",Combretaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.9,W,Unknown +/-,NA,NA,0.35,580,24.72,SD,NA,NA,2.0413231,5,17.18,SD,NA,NA,1.801943395,5,NA,,,NA,NA,NA,NA,"Pellizzarro 2016, Farias 2015, http://legacy.tropicos.org/Specimen/3176646"
Buchenavia tomentosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.96,W,Unknown +/-,NA,NA,0.28,100,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Pellizzarro 2016, Farias 2015, http://legacy.tropicos.org/Specimen/3176646"
Buchenavia tomentosa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,1.1312,W,SD,NA,NA,0.1077,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Pellizzarro 2016, Farias 2015, http://legacy.tropicos.org/Specimen/3176646"
Bursera inversa,,Burseraceae,N,Green,D,D,1,None Specified,NA,NA,NA,6,NA,Range,15,18,NA,0,NA,Range,10,12,NA,0,0.69666667,D,None Specified,NA,NA,NA,5,20,None Specified,NA,NA,NA,5,14.5,None Specified,NA,NA,NA,5,1.13333333,D,None Specified,NA,NA,NA,6,"Stevenson 2023, Stevenson 2002, Stevenson et al. 2005"
Bursera inversa,,,,,,,NA,,NA,NA,NA,NA,16,None Specified,NA,NA,NA,5,12.2,None Specified,NA,NA,NA,6,0.81833333,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2.15,W,Unknown +/-,NA,NA,0.27,6,"Stevenson 2023, Stevenson 2002, Stevenson et al. 2005"
Byrsonima arthropoda,"Byrsonima adenophylla, Byrsonima indorum, Byrsonima schultesiana",Malpighiaceae,N,Yellow,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.38,D,SD,NA,NA,0.2,10,10.5,SD,NA,NA,1.26015872,6,10.31666667,SD,NA,NA,1.278149704,6,NA,,,NA,NA,NA,NA,"Foster 1985, Vargas 2013, http://legacy.tropicos.org/Image/86272"
Byrsonima arthropoda,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.235,W,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Foster 1985, Vargas 2013, http://legacy.tropicos.org/Image/86272"
Byrsonima cowanii,,Malpighiaceae,N,NA,F,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,
Byrsonima crispa,"Byrsonima brachystachya, Byrsonima carmeniana",Malpighiaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,5,8.15,None Specified,NA,NA,NA,7.5,8.15,None Specified,NA,NA,NA,7.5,0.23,D,None Specified,NA,NA,NA,5,11,None Specified,NA,NA,NA,5,11,None Specified,NA,NA,NA,5,0.4,D,None Specified,NA,NA,NA,5,"Stevenson 2023, Norford Under Review, Knörr 2010, Andreson 2000, Link 2004"
Byrsonima crispa,,,,,,,NA,,NA,NA,NA,NA,8,SE,NA,NA,0.2,15,8,SE,NA,NA,0.2,15,0.2,D,None Specified,NA,NA,NA,0,9.5,None Specified,NA,NA,NA,0,NA,,NA,NA,NA,NA,0.86,W,None Specified,NA,NA,NA,5,"Stevenson 2023, Norford Under Review, Knörr 2010, Andreson 2000, Link 2004"
Byrsonima crispa,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.29,W,None Specified,NA,NA,NA,5,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Norford Under Review, Knörr 2010, Andreson 2000, Link 2004"
Byrsonima gardneriana,Byrsonima gardneri,Malpighiaceae,N,Green,F,I,1,None Specified,NA,NA,NA,0,6,None Specified,NA,NA,NA,0,5,None Specified,NA,NA,NA,0,NA,,,NA,NA,NA,NA,7.9,None Specified,NA,NA,NA,1,7.3,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,"Moura 2007, Santos et al. 2018"
Byrsonima orbignyana,Byrsonima cydoniifolia,Malpighiaceae,N,Yellow/Orange,F,I,NA,,NA,NA,NA,NA,8.9,None Specified,NA,NA,NA,1,7,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,12.6,Unknown +/-,NA,NA,1.4,30,12.1,Unknown +/-,NA,NA,1.6,30,1.4,W,Unknown +/-,NA,NA,1.5,30,"Martendal 2013, Donatti 2007"
