Article ID,Full Citation
Lindley 1884,"The treasury of botany: a popular dictionary of the vegetable kingdom; with which is incorporated a glossary of botanical terms. (1884). (J. Lindley & T. Moore Eds.). London, UK: Longmans, Green, & Co."
Moura 2007,"Moura, A. d. A. C., & McConkey, K. R. (2007). The capuchin, the howler, and the Caatinga: seed dispersal by monkeys in a threatened Brazilian forest. American Journal of Primatology, 69(2), 220-226. doi:10.1002/ajp.20343"
Absy 2010,"Absy, D. M. L. c. (2010). Taxonomia e hipótese filogenética da seção Americana, subgênero urostigma, gênero ficus (moraceae). Universidade federal do amazonas, Manaus, Amazonas."
Acosta-Rojas 2015,"Acosta-Rojas, D. C. (2015). ¿Afectan los micos churucos (Lagothrix lagothricha lugens) la germinación de las semillas dispersadas en bosques subadinos? (Unpublished master’s thesis). Universidad de los Andes, Bogotá, Colombia."
Adaime 2017,"Adaime, R., de Sousa, M. d. S. M., de Jesus-Barros, C. R., de Deus, E. d. G., Pereira, J. F., Strikis, P. C., & de Souza-Filho, M. F. (2017). Frugivorous flies (Diptera: Tephritidae, Lonchaeidae), their host plants, and associated parasitoids in the extreme north of Amapá State, Brazil. Florida Entomologist, 100(2), 316-324. doi:10.1653/024.100.0229"
Adaime 2018,"Adaime, R., de Sousa, M. d. S. M. S., Jonh Carlo Reis, & Deus, E. d. G. (2018). Pioneer tree species as fruit flies parasitoids reservoir in the Brazilian Amazon. Biota Neotropica, 18(2), e20170428. doi:10.1590/1676-0611-bn-2017-0428"
Adler 2015,"Adler, G. H., Kilgore, A., & Lambert, T. D. (2015). Lianas influence fruit and seed use by rodents in a tropical forest. International Society of Tropical Ecology, 51(2), 265-271. Retrieved from https://www.researchgate.net/publication/267996842_Lianas_influence_fruit_and_seed_use_by_rodents_in_a_tropical_forest#:~:text=Fruit%20and%20seed%20handling%20activity%20showed%20strong%20associations,affect%20forest%20regeneration%20and%20potentially%20impact%20local%20biodiversity."
Akinyosoye 2014,"Akinyosoye, S. T., Adetumbi, J. A., Amusa, O. D., Olowolafe, M. O., & Olasoji, J. O. (2014). Effect of seed size on in vitro seed germination, seedling growth, embryogenic callus induction and plantlet regeneration from embryo of maize (Zea mays L.) seed. Nigerian Journal of Genetics, 28(2), 1-7. doi:10.1016/j.nigjg.2015.06.001"
Al-Mayah 1983,"Al-Mayah, A.-R. A. A. (1983). The taxonomy of Terminalia (Combretaceae) and related genera. (Doctoral dissertation). University of Leicester, MI, USA. UMI dissertation publishing database."
Perez 2010,"Perez, E. A., Ruiz Tellez, T., & Sanchez Guzman, J. M. (2010). Influence of physico-chemical parameters of the aquatic medium on germination of Eichhornia crassipes seeds. Plant Biology, 13(4), 643-648. doi:10.1111/j.1438-8677.2010.00425.x"
Almeida 2016,"Almeida, M. L., Freitas, W. E., de Morais, P. L., Sarmento, J. D., & Alves, R. E. (2016). Bioactive compounds and antioxidant potential fruit of Ximenia americana L. Food Chemistry, 192, 1078-1082. doi:10.1016/j.foodchem.2015.07.129"
Aluja 2003,"Aluja, M., Rull, J., Sivinski, J., Norrbom, A. L., Wharton, R. A., Macias-ordonez, R., . . . Lopez, M. (2003). Fruit flies of the genus Anastrepha (Diptera: Tephritidae) and associated native parasitoids (Hymenoptera) in the tropical rainforest biosphere reserve of Montes azules, Chiapas, Mexico. Environmental Entomology, 32, 1377-1385. doi:10.1603/0046-225X-32.6.1377"
Alvarez-Buylla 1994,"Alvarez-Buylla, E. R., & Garay, A. A. (1994). Population genetic structure of Cecropia obtusifolia a tropical pionee tree species. Evolution, 48(2), 437-453. Retrieved from https://academic.oup.com/evolut/article/48/2/437/6870078"
Alves 2019,"Alves, J. L. F., Da Silva, J. C. G., Da Silva Filho, V. F., Alves, R. F., De Araujo Galdino, W. V., Andersen, S. L. F., & De Sena, R. F. (2019). Determination of the bioenergy potential of Brazilian pine-fruit shell via pyrolysis kinetics, thermodynamic study, and evolved gas analysis. BioEnergy Research, 12(1), 168-183. doi:10.1007/s12155-019-9964-1"
Alves 2021,"Alves, M., & Bazante, M. L. (2021). New records of Annonaceae in the Northeast Brazil. Acta Brasiliensis, 5(1), 25-34. doi:10.22571/2526-4338449"
Alves-Araújo 2012,"Alves-Araújo, A., & Alves, M. (2012). Two new species and a new combination of Neotropical Sapotaceae. Brittonia, 64(1), 23-29. doi:10.1007/s12228-011-9195-z"
Alves-Araújo 2014,"Alves-Araújo, A., Swenson, U., & Alves, M. (2014). A taxonomic survey of Pouteria (Sapotaceae) from the northern portion of the Atlantic Rainforest of Brazil. In U. S. Anderson Alves-Araujo, Marccus Alves (Ed.), Systematic Botany (Vol. 39, pp. 915-938). MO, US: American Society of Plant Taxonomists."
Alves-Costa 2007,"Alves-Costa, C. P., & Eterovick, P. C. (2007). Seed dispersal services by coatis (Nasua nasua, Procyonidae) and their redundancy with other frugivores in southeastern Brazil. Acta Oecologica, 32(1), 77-92. doi:10.1016/j.actao.2007.03.001"
Amorim 2017,"Amorim, B. S. (2017). Flogenia e estudos taxômicos do clado Gomidesia (Myrtaceae, Myrcia S.L.) na Floresta Atlântica do Brazil. (Unpublished doctoral dissertation). Universidade Federal de Pernambuco, Brazil."
Andel 2000 Part I,"Andel, T. v. (2000). Non-timber forest products of the North-West District of Guyana Part I. (Doctoral dissertation). Utrecht University, Netherlands. Tropenbos-Guyana Programme database."
Andel 2000 Part II,"Andel, T. v. (2000). Non-timber forest products of the North-West Distric of Guyana. Part II field guide. Guyana: Tropenbos-Guyana Series 8b."
Andersson 2012,"Andersson, S. (2012). Does inbreeding promote evolutionary reduction of flower size? Experimental evidence from Crepis tectorum (Asteraceae). American Journal of Botany, 99(8), 1388-1398. doi:10.3732/ajb.1200116"
Andrade-Cetto 2013,"Andrade-Cetto, A., & Medina-Hernandez, A. E. (2013). Hypoglycemic effect of Bromelia plumieri (E. Morren) L.B. Sm., leaves in STZ-NA-induced diabetic rats. Frontiers in Pharmacology, 4, 36. doi:10.3389/fphar.2013.00036"
Andresen 1999,"Andresen, E. (1999). Seed dispersal by monkeys and the fate of dispersed seeds in a Peruvian rain forest. Biotropica, 31(1), 145-158. Retrieved from https://www.jstor.org/stable/2663968"
Andresen 2004,"Andresen, E., & Levey, D. J. (2004). Effects of dung and seed size on secondary dispersal, seed predation, and seedling establishment of rain forest trees. Oecologia, 139(1), 45-54. doi:10.1007/s00442-003-1480-4"
Andreson 2000,"Andreson, E. (2000). The role of dung beetles in the regeneration of the rainforest plants in Central Amazonia. (Doctoral dissertation). University of Flordia, Ann Arbor, Ml. Bell & Howell Information and Learning Company database."
Anderson 1988,"Anderson, A. B., & Balick, M. J. (1988). Taxonomy of the Babassu complex (Orbignya spp.: Palmae). Systematic Botany, 13(1), 32-50. Retrieved from https://www.jstor.org/stable/2419239"
Aquila 2012,"Aquila, M. E. A., Braga, M. R., & Dietrich, S. M. C. (2012). The similarity of galactomannan in seeds and endocarp of pods during development in Senna macranthera var. nervosa. South African Journal of Botany, 83, 56-62. doi:10.1016/j.sajb.2012.07.015"
Arango 2007,"Arango, M. G. (2007). Dispersion desmillas por mico (Lagothrix lagothricha) en la estacion biologica caparu (Vaupes, Colombia). (Unpublished master’s thesis). Universidad de Los Andes Facult ad de Cienaias, Mérida, Venezuela."
Tiwari 2018,"Tiwari, A. P., Lawand, P. R., Shukla, A. N., & Magesh, C. R. (2018). Three new distributional records of Rubiaceae for Chhattisgarh. Indian Journal of Forestry, 41(3), 31-33."
